order_no,Product,Quantity
295,Bird,4
296,Bird,3
297,Whale,5
298,Tux,1
299,Whale,3
300,Whale,2
301,Tux,4
302,Whale,2
303,Tux,5
304,Bird,4
305,Elephant,4
306,Elephant,5
307,Tux,5
308,Elephant,5
309,Bird,5
310,Bird,2
311,Tux,3
312,Tux,4
313,Tux,1
314,Tux,4
315,Elephant,5
316,Tux,3
317,Whale,3
318,Whale,3
319,Tux,3
320,Tux,3
321,Tux,5
322,Bird,3
323,Elephant,4
324,Bird,1
325,Elephant,4
326,Whale,1
327,Bird,2
328,Tux,4
329,Tux,2
330,Elephant,4
331,Bird,3
332,Tux,2
333,Elephant,1
334,Elephant,4
335,Bird,3
336,Tux,3
337,Elephant,4
338,Tux,3
339,Whale,2
340,Tux,4
341,Bird,4
342,Whale,1
343,Tux,5
344,Elephant,3
345,Tux,1
346,Bird,5
347,Elephant,4
348,Elephant,5
349,Bird,1
350,Elephant,3
351,Tux,3
352,Elephant,3
353,Elephant,4
354,Tux,3
355,Whale,5
356,Whale,5
357,Whale,5
358,Tux,5
359,Tux,1
360,Whale,3
361,Bird,1
362,Bird,1
363,Bird,3
364,Elephant,2
365,Bird,5
366,Whale,3
367,Elephant,5
368,Whale,1
369,Bird,5
370,Tux,2
371,Bird,1
372,Whale,5
373,Whale,2
374,Elephant,5
375,Tux,4
376,Elephant,2
377,Whale,1
378,Bird,5
379,Elephant,4
380,Bird,5
381,Elephant,2
382,Elephant,4
383,Bird,5
384,Tux,3
385,Tux,5
386,Elephant,4
387,Elephant,1
388,Elephant,1
389,Tux,4
390,Elephant,5
391,Elephant,2
392,Tux,5
393,Tux,4
394,Whale,1
395,Elephant,2
396,Tux,4
397,Bird,5
398,Tux,4
399,Elephant,4
400,Tux,4
401,Elephant,4
402,Whale,4
403,Tux,4
404,Tux,1
405,Bird,5
406,Bird,5
407,Whale,5
408,Elephant,2
409,Bird,5
410,Tux,4
411,Whale,2
412,Elephant,2
413,Whale,2
414,Bird,1
415,Elephant,1
416,Elephant,1
417,Bird,4
418,Elephant,1
419,Bird,2
420,Bird,3
421,Tux,5
422,Elephant,3
423,Whale,3
424,Elephant,4
425,Tux,1
426,Tux,4
427,Tux,5
428,Bird,3
429,Bird,4
430,Elephant,4
431,Tux,3
432,Bird,1
433,Elephant,2
434,Bird,3
435,Bird,3
436,Whale,3
437,Whale,3
438,Tux,4
439,Tux,1
440,Whale,5
441,Whale,4
442,Whale,3
443,Elephant,3
444,Elephant,5
445,Bird,4
446,Bird,1
447,Elephant,3
448,Whale,4
449,Elephant,3
450,Whale,3
451,Bird,5
452,Bird,3
453,Tux,2
454,Tux,2
455,Bird,1
456,Bird,1
457,Elephant,4
458,Elephant,5
459,Elephant,4
460,Elephant,4
461,Tux,3
462,Tux,1
463,Bird,3
464,Tux,5
465,Elephant,2
466,Whale,3
467,Bird,4
468,Bird,1
469,Tux,3
470,Whale,3
471,Tux,4
472,Whale,4
473,Tux,4
474,Bird,2
475,Tux,2
476,Elephant,3
477,Tux,3
478,Tux,2
479,Whale,3
480,Elephant,1
481,Bird,3
482,Elephant,4
483,Tux,1
484,Bird,4
485,Whale,5
486,Tux,3
487,Tux,4
488,Tux,5
489,Bird,3
490,Whale,4
491,Elephant,5
492,Bird,1
493,Elephant,4
494,Tux,5
495,Elephant,5
496,Elephant,5
497,Elephant,4
498,Tux,3
499,Tux,2
500,Tux,3
501,Tux,4
502,Tux,4
503,Whale,1
504,Elephant,3
505,Bird,5
506,Tux,1
507,Whale,5
508,Bird,3
509,Bird,5
510,Bird,4
511,Whale,2
512,Elephant,2
513,Elephant,4
514,Elephant,1
515,Bird,2
516,Elephant,5
517,Whale,5
518,Whale,3
519,Bird,3
520,Whale,3
521,Whale,2
522,Elephant,2
523,Tux,4
524,Elephant,3
525,Bird,4
526,Bird,2
527,Tux,3
528,Elephant,5
529,Whale,5
530,Whale,4
531,Whale,5
532,Whale,3
533,Whale,4
534,Whale,2
535,Bird,1
536,Bird,1
537,Whale,3
538,Elephant,4
539,Bird,3
540,Tux,2
541,Elephant,2
542,Bird,2
543,Tux,4
544,Elephant,3
545,Bird,5
546,Tux,4
547,Elephant,1
548,Whale,3
549,Whale,4
550,Elephant,3
551,Elephant,4
552,Elephant,4
553,Bird,2
554,Elephant,1
555,Tux,3
556,Elephant,3
557,Elephant,1
558,Whale,4
559,Whale,3
560,Bird,3
561,Tux,4
562,Bird,5
563,Whale,1
564,Bird,4
565,Whale,3
566,Tux,1
567,Bird,1
568,Tux,5
569,Elephant,4
570,Tux,1
571,Whale,3
572,Elephant,1
573,Whale,2
574,Elephant,3
575,Whale,5
576,Tux,1
577,Elephant,4
578,Tux,2
579,Elephant,2
580,Bird,2
581,Whale,1
582,Tux,2
583,Bird,2
584,Tux,3
585,Bird,2
586,Tux,4
587,Bird,1
588,Elephant,5
589,Bird,4
590,Elephant,5
591,Elephant,3
592,Tux,3
593,Elephant,1
594,Bird,1
595,Whale,2
596,Whale,5
597,Whale,1
598,Bird,4
599,Tux,4
600,Tux,1
601,Tux,1
602,Bird,5
603,Bird,3
604,Tux,3
605,Elephant,2
606,Tux,4
607,Bird,3
608,Elephant,5
609,Elephant,3
610,Whale,5
611,Whale,5
612,Elephant,4
613,Tux,2
614,Tux,3
615,Elephant,1
616,Whale,3
617,Bird,5
618,Bird,4
619,Bird,4
620,Elephant,2
621,Elephant,4
622,Bird,4
623,Elephant,1
624,Whale,5
625,Tux,5
626,Bird,4
627,Bird,4
628,Bird,2
629,Elephant,4
630,Elephant,1
631,Elephant,4
632,Tux,3
633,Elephant,2
634,Elephant,2
635,Bird,1
636,Bird,1
637,Tux,3
638,Bird,4
639,Elephant,5
640,Whale,5
641,Whale,3
642,Elephant,1
643,Elephant,3
644,Bird,1
645,Bird,4
646,Whale,2
647,Tux,3
648,Tux,2
649,Bird,3
650,Elephant,4
651,Tux,3
652,Whale,5
653,Tux,5
654,Elephant,1
655,Elephant,5
656,Elephant,4
657,Tux,2
658,Bird,3
659,Whale,3
660,Whale,3
661,Whale,3
662,Elephant,4
663,Whale,5
664,Tux,4
665,Whale,4
666,Tux,1
667,Whale,4
668,Elephant,2
669,Tux,2
670,Whale,4
671,Whale,4
672,Tux,1
673,Bird,4
674,Elephant,5
675,Elephant,3
676,Whale,3
677,Whale,2
678,Whale,1
679,Elephant,3
680,Elephant,4
681,Whale,3
682,Whale,3
683,Whale,1
684,Elephant,5
685,Elephant,3
686,Whale,3
687,Bird,4
688,Elephant,2
689,Whale,3
690,Elephant,4
691,Tux,1
692,Bird,3
693,Elephant,2
694,Whale,3
695,Whale,1
696,Whale,3
697,Tux,1
698,Whale,4
699,Elephant,4
700,Tux,4
701,Whale,2
702,Tux,4
703,Tux,1
704,Elephant,4
705,Tux,1
706,Tux,2
707,Elephant,1
708,Whale,1
709,Tux,3
710,Elephant,2
711,Tux,1
712,Whale,3
713,Tux,2
714,Tux,4
715,Bird,5
716,Bird,1
717,Whale,3
718,Tux,2
719,Elephant,1
720,Elephant,1
721,Bird,2
722,Bird,4
723,Elephant,1
724,Elephant,5
725,Elephant,1
726,Bird,2
727,Whale,5
728,Whale,3
729,Elephant,4
730,Bird,1
731,Tux,1
732,Bird,1
733,Bird,5
734,Bird,2
735,Tux,4
736,Elephant,1
737,Bird,1
738,Elephant,4
739,Whale,2
740,Bird,1
741,Tux,5
742,Elephant,5
743,Elephant,5
744,Elephant,1
745,Elephant,5
746,Whale,5
747,Bird,5
748,Whale,5
749,Bird,5
750,Elephant,3
751,Tux,1
752,Bird,5
753,Tux,2
754,Whale,2
755,Bird,4
756,Elephant,1
757,Elephant,3
758,Elephant,2
759,Whale,1
760,Elephant,5
761,Bird,4
762,Whale,3
763,Bird,1
764,Whale,2
765,Whale,1
766,Bird,3
767,Tux,2
768,Elephant,4
769,Elephant,1
770,Tux,4
771,Tux,4
772,Tux,5
773,Whale,4
774,Whale,1
775,Bird,4
776,Tux,5
777,Elephant,4
778,Whale,2
779,Whale,4
780,Bird,4
781,Whale,5
782,Bird,4
783,Bird,1
784,Bird,5
785,Elephant,3
786,Whale,1
787,Tux,3
788,Tux,2
789,Whale,3
790,Elephant,3
791,Whale,4
792,Bird,3
793,Whale,5
794,Elephant,5
795,Whale,2
796,Tux,3
797,Elephant,4
798,Tux,5
799,Elephant,4
800,Whale,1
801,Tux,4
802,Bird,4
803,Elephant,4
804,Tux,1
805,Whale,4
806,Tux,5
807,Bird,4
808,Whale,1
809,Elephant,4
810,Whale,5
811,Whale,3
812,Whale,4
813,Elephant,3
814,Tux,2
815,Tux,1
816,Whale,5
817,Bird,5
818,Tux,5
819,Tux,2
820,Tux,5
821,Whale,5
822,Tux,5
823,Elephant,3
824,Whale,5
825,Whale,2
826,Tux,1
827,Bird,4
828,Bird,1
829,Whale,2
830,Whale,1
831,Elephant,3
832,Tux,4
833,Whale,4
834,Whale,5
835,Tux,2
836,Whale,2
837,Tux,4
838,Tux,2
839,Tux,4
840,Bird,3
841,Elephant,1
842,Bird,4
843,Whale,1
844,Tux,1
845,Tux,1
846,Elephant,3
847,Bird,1
848,Bird,2
849,Whale,4
850,Elephant,3
851,Tux,1
852,Elephant,2
853,Tux,3
854,Elephant,1
855,Bird,1
856,Whale,5
857,Tux,2
858,Bird,2
859,Bird,1
860,Bird,1
861,Whale,5
862,Elephant,5
863,Tux,3
864,Tux,4
865,Bird,4
866,Elephant,4
867,Elephant,5
868,Elephant,2
869,Tux,2
870,Bird,3
871,Elephant,5
872,Tux,2
873,Whale,1
874,Whale,5
875,Whale,3
876,Bird,3
877,Elephant,2
878,Whale,5
879,Whale,1
880,Bird,2
881,Elephant,4
882,Whale,2
883,Bird,4
884,Tux,5
885,Bird,3
886,Bird,1
887,Elephant,4
888,Whale,1
889,Bird,4
890,Whale,2
891,Whale,4
892,Tux,2
893,Bird,3
894,Tux,4
895,Tux,4
896,Bird,1
897,Whale,2
898,Bird,3
899,Bird,4
900,Elephant,2
901,Bird,3
902,Whale,2
903,Tux,4
904,Tux,5
905,Tux,3
906,Whale,5
907,Elephant,4
908,Bird,5
909,Whale,2
910,Tux,4
911,Elephant,3
912,Elephant,4
913,Elephant,2
914,Bird,5
915,Tux,5
916,Whale,3
917,Tux,1
918,Whale,2
919,Bird,1
920,Elephant,1
921,Tux,2
922,Tux,3
923,Bird,2
924,Tux,1
925,Elephant,2
926,Elephant,2
927,Bird,3
928,Elephant,1
929,Tux,2
930,Tux,1
931,Bird,2
932,Elephant,5
933,Tux,1
934,Whale,1
935,Whale,3
936,Whale,2
937,Whale,2
938,Whale,2
939,Elephant,5
940,Elephant,1
941,Bird,5
942,Elephant,1
943,Tux,5
944,Elephant,4
945,Tux,1
946,Tux,4
947,Elephant,1
948,Elephant,2
949,Whale,3
950,Tux,4
951,Tux,3
952,Elephant,3
953,Whale,4
954,Bird,1
955,Tux,4
956,Tux,3
957,Bird,4
958,Elephant,3
959,Whale,5
960,Tux,1
961,Whale,1
962,Whale,5
963,Bird,4
964,Bird,4
965,Bird,5
966,Tux,1
967,Elephant,2
968,Tux,5
969,Tux,3
970,Tux,2
971,Bird,1
972,Bird,4
973,Bird,1
974,Tux,1
975,Whale,1
976,Elephant,3
977,Tux,4
978,Elephant,2
979,Whale,1
980,Tux,5
981,Whale,3
982,Tux,1
983,Whale,1
984,Bird,4
985,Bird,5
986,Whale,5
987,Elephant,5
988,Bird,1
989,Bird,5
990,Bird,4
991,Elephant,5
992,Bird,2
993,Elephant,2
994,Whale,1
995,Tux,3
996,Tux,2
997,Bird,1
998,Tux,3
999,Elephant,5
1000,Elephant,2
1001,Tux,5
1002,Tux,4
1003,Elephant,1
1004,Elephant,5
1005,Tux,4
1006,Elephant,3
1007,Whale,4
1008,Bird,4
1009,Whale,5
1010,Whale,5
1011,Whale,4
1012,Elephant,1
1013,Bird,1
1014,Elephant,5
1015,Whale,3
1016,Elephant,5
1017,Tux,2
1018,Whale,4
1019,Elephant,3
1020,Bird,5
1021,Tux,3
1022,Elephant,1
1023,Tux,2
1024,Bird,2
1025,Bird,1
1026,Elephant,3
1027,Tux,2
1028,Elephant,4
1029,Elephant,5
1030,Bird,4
1031,Whale,3
1032,Whale,3
1033,Elephant,3
1034,Whale,3
1035,Bird,3
1036,Whale,5
1037,Whale,5
1038,Tux,2
1039,Whale,1
1040,Bird,2
1041,Elephant,2
1042,Whale,2
1043,Bird,3
1044,Tux,3
1045,Tux,4
1046,Whale,1
1047,Bird,5
1048,Elephant,2
1049,Whale,1
1050,Tux,2
1051,Bird,1
1052,Whale,3
1053,Elephant,2
1054,Whale,2
1055,Elephant,1
1056,Bird,3
1057,Whale,5
1058,Elephant,1
1059,Whale,3
1060,Whale,3
1061,Bird,1
1062,Elephant,4
1063,Elephant,3
1064,Bird,3
1065,Bird,1
1066,Tux,5
1067,Elephant,5
1068,Bird,1
1069,Tux,3
1070,Whale,5
1071,Bird,4
1072,Bird,4
1073,Whale,5
1074,Elephant,2
1075,Whale,2
1076,Elephant,5
1077,Elephant,1
1078,Tux,4
1079,Tux,4
1080,Elephant,3
1081,Bird,1
1082,Whale,2
1083,Whale,2
1084,Whale,4
1085,Whale,2
1086,Bird,2
1087,Tux,2
1088,Elephant,2
1089,Elephant,2
1090,Whale,5
1091,Bird,2
1092,Whale,1
1093,Bird,1
1094,Elephant,2
1095,Tux,3
1096,Tux,5
1097,Elephant,4
1098,Bird,4
1099,Elephant,2
1100,Bird,5
1101,Bird,4
1102,Whale,3
1103,Elephant,4
1104,Elephant,5
1105,Whale,3
1106,Tux,3
1107,Bird,1
1108,Tux,5
1109,Bird,5
1110,Elephant,5
1111,Tux,2
1112,Whale,4
1113,Elephant,5
1114,Elephant,5
1115,Elephant,2
1116,Bird,1
1117,Bird,1
1118,Bird,2
1119,Bird,4
1120,Whale,5
1121,Elephant,5
1122,Elephant,4
1123,Whale,2
1124,Tux,5
1125,Bird,5
1126,Whale,3
1127,Bird,4
1128,Whale,5
1129,Whale,5
1130,Tux,2
1131,Elephant,2
1132,Elephant,4
1133,Elephant,2
1134,Elephant,2
1135,Elephant,3
1136,Whale,3
1137,Tux,5
1138,Tux,3
1139,Bird,3
1140,Elephant,4
1141,Bird,2
1142,Elephant,1
1143,Elephant,4
1144,Tux,5
1145,Whale,3
1146,Bird,3
1147,Elephant,2
1148,Bird,2
1149,Elephant,3
1150,Whale,4
1151,Elephant,3
1152,Bird,2
1153,Bird,1
1154,Whale,1
1155,Tux,1
1156,Tux,3
1157,Elephant,3
1158,Elephant,3
1159,Elephant,3
1160,Tux,1
1161,Tux,4
1162,Whale,2
1163,Elephant,1
1164,Elephant,3
1165,Whale,2
1166,Elephant,4
1167,Whale,3
1168,Bird,2
1169,Bird,5
1170,Tux,1
1171,Whale,5
1172,Whale,2
1173,Whale,5
1174,Tux,4
1175,Bird,1
1176,Bird,3
1177,Bird,2
1178,Tux,5
1179,Bird,5
1180,Whale,5
1181,Whale,2
1182,Bird,2
1183,Bird,4
1184,Bird,4
1185,Elephant,5
1186,Elephant,3
1187,Bird,3
1188,Tux,2
1189,Tux,2
1190,Bird,1
1191,Tux,3
1192,Tux,5
1193,Bird,4
1194,Whale,4
1195,Bird,1
1196,Elephant,5
1197,Whale,3
1198,Tux,2
1199,Tux,5
1200,Bird,2
1201,Elephant,1
1202,Tux,1
1203,Tux,3
1204,Elephant,1
1205,Whale,2
1206,Elephant,5
1207,Tux,3
1208,Tux,1
1209,Elephant,4
1210,Whale,1
1211,Elephant,2
1212,Elephant,1
1213,Elephant,1
1214,Bird,2
1215,Tux,4
1216,Bird,3
1217,Bird,5
1218,Whale,3
1219,Whale,5
1220,Bird,1
1221,Whale,1
1222,Tux,4
1223,Whale,3
1224,Tux,4
1225,Whale,1
1226,Bird,4
1227,Whale,5
1228,Tux,2
1229,Elephant,1
1230,Tux,5
1231,Whale,5
1232,Bird,1
1233,Tux,3
1234,Bird,1
1235,Whale,1
1236,Bird,3
1237,Tux,4
1238,Bird,3
1239,Tux,4
1240,Tux,1
1241,Whale,3
1242,Bird,4
1243,Elephant,5
1244,Elephant,3
1245,Bird,2
1246,Tux,1
1247,Whale,2
1248,Tux,4
1249,Tux,1
1250,Bird,1
1251,Elephant,5
1252,Bird,2
1253,Bird,5
1254,Whale,5
1255,Whale,4
1256,Elephant,5
1257,Whale,1
1258,Whale,4
1259,Whale,1
1260,Whale,2
1261,Whale,4
1262,Tux,4
1263,Whale,4
1264,Tux,5
1265,Bird,5
1266,Bird,2
1267,Tux,5
1268,Tux,1
1269,Whale,1
1270,Bird,5
1271,Bird,1
1272,Whale,4
1273,Bird,3
1274,Bird,2
1275,Whale,5
1276,Bird,3
1277,Tux,2
1278,Tux,1
1279,Elephant,5
1280,Bird,5
1281,Tux,4
1282,Tux,5
1283,Tux,3
1284,Whale,3
1285,Bird,2
1286,Elephant,2
1287,Tux,5
1288,Bird,4
1289,Elephant,5
1290,Bird,3
1291,Bird,1
1292,Tux,2
1293,Tux,1
1294,Whale,4
1295,Bird,1
1296,Bird,4
1297,Whale,2
1298,Tux,2
1299,Elephant,1
1300,Bird,4
1301,Elephant,4
1302,Tux,1
1303,Tux,3
1304,Bird,4
1305,Tux,1
1306,Tux,4
1307,Whale,2
1308,Whale,3
1309,Whale,1
1310,Elephant,2
1311,Tux,1
1312,Whale,1
1313,Elephant,2
1314,Tux,3
1315,Bird,2
1316,Tux,1
1317,Elephant,5
1318,Bird,4
1319,Tux,5
1320,Bird,2
1321,Whale,5
1322,Bird,4
1323,Whale,5
1324,Tux,2
1325,Bird,3
1326,Tux,3
1327,Bird,2
1328,Elephant,3
1329,Bird,5
1330,Whale,4
1331,Elephant,1
1332,Bird,5
1333,Tux,2
1334,Tux,5
1335,Bird,4
1336,Whale,2
1337,Elephant,5
1338,Tux,3
1339,Whale,4
1340,Whale,2
1341,Elephant,3
1342,Whale,5
1343,Bird,2
1344,Whale,1
1345,Bird,3
1346,Elephant,5
1347,Tux,2
1348,Tux,3
1349,Whale,3
1350,Elephant,3
1351,Elephant,2
1352,Whale,4
1353,Elephant,1
1354,Tux,3
1355,Whale,3
1356,Bird,2
1357,Whale,5
1358,Bird,2
1359,Bird,4
1360,Bird,3
1361,Elephant,3
1362,Whale,4
1363,Whale,4
1364,Tux,2
1365,Whale,1
1366,Tux,4
1367,Bird,3
1368,Tux,1
1369,Tux,3
1370,Elephant,1
1371,Bird,1
1372,Elephant,5
1373,Tux,5
1374,Elephant,4
1375,Tux,3
1376,Whale,3
1377,Tux,4
1378,Bird,3
1379,Elephant,3
1380,Tux,4
1381,Whale,3
1382,Tux,3
1383,Elephant,4
1384,Whale,3
1385,Elephant,1
1386,Tux,4
1387,Whale,4
1388,Bird,1
1389,Whale,4
1390,Tux,4
1391,Bird,2
1392,Whale,3
1393,Whale,1
1394,Elephant,4
1395,Bird,4
1396,Tux,3
1397,Elephant,2
1398,Elephant,2
1399,Tux,5
1400,Bird,1
1401,Whale,3
1402,Tux,5
1403,Tux,4
1404,Bird,5
1405,Elephant,3
1406,Whale,5
1407,Elephant,4
1408,Elephant,4
1409,Tux,2
1410,Elephant,4
1411,Elephant,1
1412,Elephant,1
1413,Tux,1
1414,Elephant,2
1415,Bird,2
1416,Tux,3
1417,Elephant,3
1418,Tux,4
1419,Bird,1
1420,Elephant,3
1421,Bird,5
1422,Bird,3
1423,Bird,1
1424,Bird,2
1425,Bird,2
1426,Tux,1
1427,Elephant,4
1428,Tux,4
1429,Tux,5
1430,Whale,4
1431,Elephant,5
1432,Whale,4
1433,Elephant,4
1434,Tux,5
1435,Elephant,1
1436,Whale,5
1437,Tux,3
1438,Tux,2
1439,Elephant,4
1440,Bird,5
1441,Elephant,3
1442,Bird,2
1443,Elephant,4
1444,Tux,5
1445,Elephant,1
1446,Bird,1
1447,Elephant,5
1448,Bird,2
1449,Whale,4
1450,Tux,2
1451,Bird,5
1452,Tux,3
1453,Elephant,5
1454,Whale,2
1455,Whale,5
1456,Elephant,1
1457,Whale,1
1458,Tux,5
1459,Elephant,1
1460,Whale,2
1461,Tux,5
1462,Tux,3
1463,Elephant,5
1464,Elephant,5
1465,Tux,4
1466,Whale,1
1467,Elephant,2
1468,Whale,1
1469,Tux,4
1470,Whale,4
1471,Bird,4
1472,Tux,3
1473,Elephant,2
1474,Whale,3
1475,Tux,2
1476,Whale,1
1477,Whale,5
1478,Whale,1
1479,Bird,5
1480,Tux,3
1481,Elephant,4
1482,Bird,2
1483,Bird,3
1484,Bird,4
1485,Tux,1
1486,Bird,5
1487,Elephant,5
1488,Whale,2
1489,Elephant,2
1490,Elephant,1
1491,Whale,1
1492,Elephant,1
1493,Elephant,5
1494,Whale,3
1495,Elephant,5
1496,Tux,2
1497,Tux,4
1498,Elephant,1
1499,Bird,5
1500,Tux,3
1501,Tux,5
1502,Whale,2
1503,Elephant,2
1504,Tux,3
1505,Elephant,5
1506,Bird,3
1507,Bird,4
1508,Elephant,3
1509,Whale,2
1510,Bird,5
1511,Bird,1
1512,Tux,2
1513,Bird,3
1514,Elephant,2
1515,Elephant,5
1516,Whale,3
1517,Whale,4
1518,Whale,5
1519,Bird,3
1520,Bird,4
1521,Bird,2
1522,Tux,4
1523,Elephant,4
1524,Tux,1
1525,Bird,1
1526,Whale,4
1527,Whale,2
1528,Whale,1
1529,Bird,2
1530,Bird,4
1531,Tux,4
1532,Elephant,4
1533,Whale,3
1534,Whale,4
1535,Bird,3
1536,Bird,2
1537,Tux,5
1538,Bird,5
1539,Tux,1
1540,Whale,3
1541,Tux,3
1542,Elephant,2
1543,Whale,1
1544,Tux,4
1545,Whale,3
1546,Elephant,5
1547,Elephant,1
1548,Tux,5
1549,Bird,1
1550,Elephant,4
1551,Bird,4
1552,Elephant,1
1553,Whale,3
1554,Elephant,2
1555,Bird,5
1556,Tux,2
1557,Whale,5
1558,Tux,2
1559,Bird,1
1560,Tux,5
1561,Elephant,5
1562,Elephant,2
1563,Elephant,5
1564,Whale,3
1565,Tux,1
1566,Whale,2
1567,Tux,1
1568,Tux,5
1569,Bird,4
1570,Tux,1
1571,Whale,4
1572,Tux,1
1573,Tux,3
1574,Whale,4
1575,Tux,2
1576,Bird,5
1577,Bird,4
1578,Whale,4
1579,Elephant,5
1580,Whale,1
1581,Whale,4
1582,Bird,2
1583,Whale,1
1584,Bird,2
1585,Whale,2
1586,Tux,2
1587,Bird,1
1588,Bird,1
1589,Tux,5
1590,Bird,3
1591,Tux,1
1592,Whale,5
1593,Whale,2
1594,Bird,3
1595,Whale,3
1596,Tux,2
1597,Elephant,2
1598,Whale,1
1599,Whale,3
1600,Whale,1
1601,Elephant,4
1602,Bird,1
1603,Elephant,1
1604,Bird,5
1605,Whale,4
1606,Elephant,2
1607,Tux,4
1608,Bird,1
1609,Tux,4
1610,Tux,4
1611,Elephant,4
1612,Tux,2
1613,Whale,2
1614,Tux,5
1615,Bird,5
1616,Elephant,1
1617,Elephant,2
1618,Tux,3
